Text_ID,Mobile_Tech_Flag_Actual,Mobile_Tech_Flag_Predicted,Headline_Actual_Eng,Headline_Generated_Eng_Lang
article_4001,,0,,
article_4002,,0,,
article_4003,,0,,
article_4004,,0,,
article_4005,,0,,
article_4006,,0,,
article_4007,,0,,
article_4008,,0,,
article_4009,,0,,
article_4010,,0,,
article_4011,,0,,
article_4012,,0,,
article_4013,,0,,
article_4014,,0,,
article_4015,,0,,
article_4016,,0,,
article_4017,,0,,
article_4018,,0,,
article_4019,,0,,
article_4020,,0,,
article_4021,,0,,
article_4022,,0,,
article_4023,,0,,
article_4024,,0,,
article_4025,,0,,
article_4026,,0,,
article_4027,,0,,
article_4028,,0,,
article_4029,,0,,
article_4030,,0,,
article_4031,,0,,
article_4032,,0,,
article_4033,,0,,
article_4034,,0,,
article_4035,,0,,
article_4036,,0,,
article_4037,,0,,
article_4038,,0,,
article_4039,,0,,
article_4040,,0,,
article_4041,,0,,
article_4042,,0,,
article_4043,,0,,
article_4044,,0,,
article_4045,,0,,
article_4046,,0,,
article_4047,,0,,
article_4048,,0,,
article_4049,,0,,
article_4050,,0,,
article_4051,,0,,
article_4052,,0,,
article_4053,,0,,
article_4054,,0,,
article_4055,,0,,
article_4056,,0,,
article_4058,,0,,
article_4059,,0,,
article_4060,,0,,
article_4061,,0,,
article_4062,,0,,
article_4063,,0,,
article_4064,,0,,
article_4065,,0,,
article_4066,,0,,
article_4067,,0,,
article_4068,,0,,
article_4069,,0,,
article_4070,,0,,
article_4071,,0,,
article_4072,,0,,
article_4073,,0,,
article_4074,,0,,
article_4075,,0,,
article_4076,,0,,
article_4077,,0,,
article_4078,,0,,
article_4079,,0,,
article_4080,,0,,
article_4081,,0,,
article_4082,,0,,
article_4083,,0,,
article_4084,,0,,
article_4085,,0,,
article_4086,,0,,
article_4087,,0,,
article_4088,,0,,
article_4089,,0,,
article_4090,,0,,
article_4091,,0,,
article_4092,,0,,
article_4093,,0,,
article_4094,,0,,
article_4095,,0,,
article_4096,,0,,
article_4097,,0,,
article_4098,,0,,
article_4099,,0,,
article_4100,,0,,
article_4101,,0,,
article_4102,,0,,
article_4103,,0,,
article_4104,,0,,
article_4105,,0,,
article_4106,,0,,
article_4107,,0,,
article_4108,,0,,
article_4109,,0,,
article_4110,,0,,
article_4111,,0,,
article_4112,,0,,
article_4113,,0,,
article_4114,,0,,
article_4115,,0,,
article_4116,,0,,
article_4117,,0,,
article_4118,,0,,
article_4119,,0,,
article_4120,,0,,
article_4121,,0,,
article_4122,,0,,
article_4123,,0,,
article_4124,,0,,
article_4125,,0,,
article_4126,,0,,
article_4127,,0,,
article_4128,,0,,
article_4129,,0,,
article_4130,,0,,
article_4131,,0,,
article_4132,,0,,
article_4133,,0,,
article_4134,,0,,
article_4135,,0,,
article_4136,,0,,
article_4137,,0,,
article_4138,,0,,
article_4139,,0,,
article_4140,,0,,
article_4141,,0,,
article_4142,,0,,
article_4143,,0,,
article_4144,,0,,
article_4145,,0,,
article_4146,,0,,
article_4148,,0,,
article_4149,,0,,
article_4150,,0,,
article_4151,,1,, apple is working on a new feature that will let users unlock their iphone models with apple watch
article_4152,,1,, poco m3 launched in india today adding to the companys formidable portfolio. the
article_4153,,1,, samsung launches galaxy m02 with 5000mah battery and large
article_4154,,1,, the sony playstation 5 is a big console and is a must-have for
article_4155,,1,, mediateks new m80 5g modem combines mmwave and sub6
article_4156,,1,, itel a47 comes with a 55inch 1397cm hd
article_4157,,1,, stadia gaming platform will be shut down by google. ceo sundar pic
article_4158,,1,, infinix smart 5 will be the most affordable smartphone with 6000mah battery capacity
article_4159,,1,, the oneplus band is the first product from the company in the wearable segment. it
article_4160,,1,, taiwanese semiconductor company mediatek has announced its new m80
article_4161,,1,, samsung galaxy s20 fe 5g is the same as the
article_4162,,1,, jade raymond has decided to leave google to pursue other opportunities. most of the
article_4163,,1,, the m11 lite is anticipated to have a punchhole digicam on the
article_4164,,1,, oneplus is tipped to launch a new smartphone later this year. the one
article_4165,,1,, poco m3 smartphone will have a 653 inch full hd display 
article_4166,,1,, poco x3 pro smartphone has been spotted on several regulatory websites. device is
article_4167,,1,, the amkette evo fox game box is priced at rs 8990
article_4168,,1,, the samsung galaxy s21 ultra 5g is the most trending smartphone
article_4169,,1,, oneplus has started rolling out last stable android 10based update for the oneplus 7 and one
article_4170,,1,, canon has unveiled the new pixma g series ink tank printers
article_4171,,1,, apex court orders release of ahmed omar saeed
article_4172,,1,, bgrin poco m3 is set to launch in india today via an online launch
article_4173,,1,, xiaomi recently launched the mi 11 smartphone and now leaks are rif
article_4174,,1,, vivo x60 pro plus and x60 pro plus complete x60 series
article_4175,,1,, infinix smart 5 will come in four colours variants morandi green 6 degree purple
article_4176,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4177,,1,, hindi news tech auto realme x7 pro 5g smartphone launch india today news
article_4178,,1,, php 6999 <unk> 10800 <unk> <unk> <unk> <unk> <unk> 
article_4179,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4180,,1,, jansatta <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4181,,0,,
article_4182,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4183,,1,, samsung galaxy f41 is currently available at a price of r
article_4184,,1,, galaxy a52 5g <unk> <unk> <unk> <unk> <unk> <unk> 
article_4185,,1,, evan blass aka evleaks <unk> <unk>
article_4186,,1,, vivo x50 <unk> <unk> <unk> <unk> <unk> <unk> 
article_4187,,1,, 5000mah battery 64mp quad rear camera 5g smartphone motorola edge 
article_4188,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4189,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4190,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4191,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4192,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4193,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4194,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4195,,1,, motorola moto g 5g <unk> <unk> <unk> <unk> <unk>
article_4196,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4197,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4198,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4199,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4200,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
article_4201,,0,,
article_4202,,0,,
article_4203,,1,, mobile par rozdhan app se paytm kamaye 50 bonus may 3
article_4204,,1,, rohit mewada aaj me aapk
article_4205,,1,, mobile se blog post kaise publish kare mobile se wese blog post publish
article_4206,,1,, mobile se free calling kaise kare kisi bhi number
article_4207,,0,,
article_4208,,0,,
article_4209,,1,, true balance app ki madad se free recharge kar sakte hai
article_4210,,0,,
article_4211,,1,, the infinix smart 5 7199 is the newest addition to the smart series.
article_4212,,1,, a samsung galaxy note 9 smartphone has reportedly caught fire in a
article_4213,,1,, a swathe of pixel 3 and 3xl owners have reported damage
article_4214,,1,, in a recent case of smartphone explosion a realme 5 caught fire and exploded while
article_4215,,1,, apple ios 14 problems are the most talked about ios 14 problems according
article_4216,,1,, apple users updating their iphones to ios 142 are facing severe battery drain issues
article_4217,,1,, samsung galaxy m31 bricked while installing latest software update.
article_4218,,1,, samsung galaxy s20 smartphones are facing gpsrelated issues 
article_4219,,1,, galaxy s20 fe is reportedly giving some grief to users who have bought it
article_4220,,0,,
article_4221,,1,, people have posted the issue on motorola forums. they are seeing purple patches on both
