,Id,text,class,cleaned_text,bag_of_words,,,,
0,tweet_0001,"You'll 💜 my #PitchWars book if you like: 🦋 hate-to-love 🦋 #OwnVoices Ace/Aro rep 🦋 subdued mythology 🦋 ride-or-die queerplatonic bonds 🦋 fast pace, high risk 🦋 star and plant imagery everywhere 🦋 getting punched in your emotions 🌿#PWParty20⏱️ https://t.co/mDTSG4DLG5",0,"you'll 💜 my pitchwars book if you like 🦋 hate-to-love 🦋 ownvoices ace/aro rep 🦋 subdued mythology 🦋 ride-or-die queerplatonic bonds 🦋 fast pace, high risk 🦋 star and plant imagery everywhere 🦋 getting punched in your emotions 🌿 pwparty20⏱️ ","['💜', 'pitchwar', 'book', 'like', '🦋', 'hate', 'love', '🦋', 'ownvoice', 'ace', 'aro', 'rep', '🦋', 'subdue', 'mythology', '🦋', 'ride', 'die', 'queerplatonic', 'bond', '🦋', 'fast', 'pace', 'high', 'risk', '🦋', 'star', 'plant', 'imagery', '🦋', 'get', 'punch', 'emotion', '🌿', 'pwparty20', '⏱', '️']",,,,
1,tweet_0002,RT @SkySportsNews: 🚨 Breaking: #WBA have reached a verbal agreement with #AFC in the last hour over a loan deal for Ainsley Maitland-Niles. @RobDorsettSky adds he will undergo a medical in London in the next couple of hours. #DeadlineDay 🤝,0, skysportsnews 🚨 breaking wba have reached a verbal agreement with afc in the last hour over a loan deal for ainsley maitland-niles. robdorsettsky adds he will undergo a medical in london in the next couple of hours. deadlineday 🤝,"['  ', 'skysportsnews', '🚨', 'break', 'wba', 'reach', 'verbal', 'agreement', 'afc', 'hour', 'loan', 'deal', 'ainsley', 'maitland', 'nile', 'robdorsettsky', 'add', 'undergo', 'medical', 'london', 'couple', 'hour', 'deadlineday', '🤝']",,,,
2,tweet_0003,RT @stealyoman_cuso: really says a lot about society that we are half way thru a snow storm and not a single man has offered to risk his life to eat my ass by candle light,0, stealyoman_cuso really says a lot about society that we are half way thru a snow storm and not a single man has offered to risk his life to eat my ass by candle light,"['  ', 'stealyoman_cuso', 'say', 'lot', 'society', 'half', 'way', 'snow', 'storm', 'single', 'man', 'offer', 'risk', 'life', 'eat', 'ass', 'candle', 'light']",,,,
3,tweet_0004,"RT @PGtzsche1: HPV vaccines increased serious nervous system disorders, risk ratio 1.49 (1.02 to 2.16, P = 0.04), even though active comparators were used in the control groups https://t.co/YV43KxM605 EMA mishandled its investigation into suspected serious neurological harms of HPV vaccines",0," pgtzsche1 hpv vaccines increased serious nervous system disorders, risk ratio 1.49 (1.02 to 2.16, p = 0.04), even though active comparators were used in the control groups ","['  ', 'pgtzsche1', 'hpv', 'vaccine', 'increase', 'nervous', 'system', 'disorder', 'risk', 'ratio', '1.49', '1.02', '2.16', 'p', '=', '0.04', 'active', 'comparator', 'control', 'group']",,,,
4,tweet_0005,"Ramaphosa says if you are positive you must self isolate and crowded places increase the risk and avoid indoor places, risk is higher indoors than in closed setting, urge employers to let workers work from home where possible, masks must cover mouth & nose. #FamilyMeeting",0,"ramaphosa says if you are positive you must self isolate and crowded places increase the risk and avoid indoor places, risk is higher indoors than in closed setting, urge employers to let workers work from home where possible, masks must cover mouth & nose. familymeeting","['ramaphosa', 'say', 'positive', 'self', 'isolate', 'crowded', 'place', 'increase', 'risk', 'avoid', 'indoor', 'place', 'risk', 'high', 'indoor', 'closed', 'setting', 'urge', 'employer', 'let', 'worker', 'work', 'home', 'possible', 'mask', 'cover', 'mouth', 'nose', 'familymeeting']",,,,
5,tweet_0006,"@KarlBrophy 200,000 is a lot of the people that are heavily exposed and heavily at risk.",0," karlbrophy 200,000 is a lot of the people that are heavily exposed and heavily at risk.","['  ', 'karlbrophy', '200,000', 'lot', 'people', 'heavily', 'expose', 'heavily', 'risk']",,,,
6,tweet_0007,"RT @dharmasarvopari: Massive loan/utility bill relief & DBT announced for middle class which lost jobs/businesses due to Corona in past 1 year. Unprecedented tax relief & subsidies announced for those who somehow survived but can't progress due to archaic laws,red-tapism & unease of doing business. https://t.co/zDIGVkPiF6",0," dharmasarvopari massive loan/utility bill relief & dbt announced for middle class which lost jobs/businesses due to corona in past 1 year. unprecedented tax relief & subsidies announced for those who somehow survived but can't progress due to archaic laws,red-tapism & unease of doing business. ","['  ', 'dharmasarvopari', 'massive', 'loan', 'utility', 'bill', 'relief', 'dbt', 'announce', 'middle', 'class', 'lose', 'job', 'business', 'corona', 'past', '1', 'year', 'unprecedented', 'tax', 'relief', 'subsidy', 'announce', 'survive', 'progress', 'archaic', 'law', 'red', 'tapism', 'unease', 'business']",,,,
7,tweet_0008,"@EdwardthembaSa 😂 I don't think hz taking that risk, across the limpopo it rumoured that senior politicians took the jab in secret and didn't turn out well.",0," edwardthembasa 😂 i don't think hz taking that risk, across the limpopo it rumoured that senior politicians took the jab in secret and didn't turn out well.","['  ', 'edwardthembasa', '😂', 'think', 'hz', 'take', 'risk', 'limpopo', 'rumour', 'senior', 'politician', 'take', 'jab', 'secret', 'turn']",,,,
8,tweet_0009,"QT @ElevationToday: Kini gbogbo eleyi bayi? E be like rapture bin don happen and na tribulation we dey so o . Ahhhhh ; A new virus called #Nipah has been discovered in China, with a fatality rate of up to 75 percent, it could potentially be the next big pandemic risk with giant pharmaceutical companies unprepared while currently focusing #COVID19, according to an independent report. https://t.co/kdN9CUKibQ",0," elevationtoday kini gbogbo eleyi bayi? e be like rapture bin don happen and na tribulation we dey so o . ahhhhh ; a new virus called nipah has been discovered in china, with a fatality rate of up to 75 percent, it could potentially be the next big pandemic risk with giant pharmaceutical companies unprepared while currently focusing covid19, according to an independent report. ","['  ', 'elevationtoday', 'kini', 'gbogbo', 'eleyi', 'bayi', 'e', 'like', 'rapture', 'bin', 'don', 'happen', 'na', 'tribulation', 'dey', 'o', 'ahhhhh', 'new', 'virus', 'call', 'nipah', 'discover', 'china', 'fatality', 'rate', '75', 'percent', 'potentially', 'big', 'pandemic', 'risk', 'giant', 'pharmaceutical', 'company', 'unprepared', 'currently', 'focus', 'covid19', 'accord', 'independent', 'report']",,,,
9,tweet_0010,RT @DeadlineDayLive: 📝 DEAL DONE: Parma have signed Joshua Zirkzee on an initial loan deal from Bayern Munich with an option to buy for €15m. Bayern have included a 7.5% future sell-on clause. (Source: @1913parmacalcio) https://t.co/3630MrrHke,0, deadlinedaylive 📝 deal done parma have signed joshua zirkzee on an initial loan deal from bayern munich with an option to buy for €15m. bayern have included a 7.5% future sell-on clause. (source 1913parmacalcio) ,"['  ', 'deadlinedaylive', '📝', 'deal', 'parma', 'sign', 'joshua', 'zirkzee', 'initial', 'loan', 'deal', 'bayern', 'munich', 'option', 'buy', '€', '15', 'm', 'bayern', 'include', '7.5', 'future', 'sell', 'clause', 'source', '1913parmacalcio']",,,,
10,tweet_0011,RT @kaykmtz: No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people,0, kaykmtz no one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? these workers are literally putting their life at risk serving these unmasked people,"['  ', 'kaykmtz', 'think', 'restaurant', 'worker', 'eligible', 'vaccine', 'open', 'outdoor', 'din', 'worker', 'literally', 'put', 'life', 'risk', 'serve', 'unmasked', 'people']",,,,
11,tweet_0012,"Ramaphosa: We know that the new variant is more infectious than the previous strain and is far more likely to drive new waves of infection. Household transmission is a major factor, Ramaphosa says. Risk of contracting virus is ~20x higher indoors vs outdoors #COVID19 #COVID19sa",0,"ramaphosa we know that the new variant is more infectious than the previous strain and is far more likely to drive new waves of infection. household transmission is a major factor, ramaphosa says. risk of contracting virus is ~20x higher indoors vs outdoors covid19 covid19sa","['ramaphosa', 'know', 'new', 'variant', 'infectious', 'previous', 'strain', 'far', 'likely', 'drive', 'new', 'wave', 'infection', 'household', 'transmission', 'major', 'factor', 'ramaphosa', 'say', 'risk', 'contracting', 'virus', '~20x', 'high', 'indoor', 'vs', 'outdoors', 'covid19', 'covid19sa']",,,,
12,tweet_0013,NEWS: Liverpool transfer news: Reds close in on Ozan Kabak loan deal (via BBC Sport) https://t.co/080yMxv2W4,0,news liverpool transfer news reds close in on ozan kabak loan deal (via bbc sport) ,"['news', 'liverpool', 'transfer', 'news', 'red', 'close', 'ozan', 'kabak', 'loan', 'deal', 'bbc', 'sport']",,,,
